Mac Prefix,Vendor Name,Private,Block Type,Last Update
00:10:C2,"WILLNET, INC.",false,MA-L,2015/11/17
00:10:C3,CSI-CONTROL SYSTEMS,false,MA-L,2015/11/17
00:10:C4,"MEDIA GLOBAL LINKS CO., LTD.",false,MA-L,2015/11/17
00:10:C5,"PROTOCOL TECHNOLOGIES, INC.",false,MA-L,2015/11/17
00:10:C6,"Universal Global Scientific Industrial Co., Ltd.",false,MA-L,2015/11/17
00:10:C7,DATA TRANSMISSION NETWORK,false,MA-L,2015/11/17
00:10:C8,COMMUNICATIONS ELECTRONICS SECURITY GROUP,false,MA-L,2015/11/17
00:10:C9,MITSUBISHI ELECTRONICS LOGISTIC SUPPORT CO.,false,MA-L,2015/11/17
00:10:CA,"Telco Systems, Inc.",false,MA-L,2015/11/17
00:10:CB,FACIT K.K.,false,MA-L,2015/11/17
00:10:CC,CLP COMPUTER LOGISTIK PLANUNG GmbH,false,MA-L,2015/11/17
00:10:CD,INTERFACE CONCEPT,false,MA-L,2015/11/17
00:10:CE,"VOLAMP, LTD.",false,MA-L,2015/11/17
00:10:CF,FIBERLANE COMMUNICATIONS,false,MA-L,2015/11/17
00:10:D0,"WITCOM, LTD.",false,MA-L,2015/11/17
00:10:D1,"Top Layer Networks, Inc.",false,MA-L,2015/11/17
00:10:D2,"NITTO TSUSHINKI CO., LTD",false,MA-L,2015/11/17
00:10:D3,GRIPS ELECTRONIC GMBH,false,MA-L,2015/11/17
00:10:D4,STORAGE COMPUTER CORPORATION,false,MA-L,2015/11/17
00:10:D5,"IMASDE CANARIAS, S.A.",false,MA-L,2015/11/17
00:10:D6,Exelis,false,MA-L,2015/11/17
00:10:D7,ARGOSY RESEARCH INC.,false,MA-L,2015/11/17
00:10:D8,CALISTA,false,MA-L,2015/11/17
00:10:D9,"IBM JAPAN, FUJISAWA MT+D",false,MA-L,2015/11/17
00:10:DA,Kollmorgen Corp,false,MA-L,2015/11/17
00:10:DB,Juniper Networks,false,MA-L,2016/02/10
00:10:DC,"MICRO-STAR INTERNATIONAL CO., LTD.",false,MA-L,2015/11/17
00:10:DD,"ENABLE SEMICONDUCTOR, INC.",false,MA-L,2015/11/17
00:10:DE,INTERNATIONAL DATACASTING CORPORATION,false,MA-L,2015/11/17
00:10:DF,RISE COMPUTER INC.,false,MA-L,2015/11/17
00:10:E0,Oracle Corporation,false,MA-L,2016/02/10
00:10:E1,"S.I. TECH, INC.",false,MA-L,2015/11/17
00:10:E2,"ArrayComm, Inc.",false,MA-L,2015/11/17
00:10:E3,Hewlett Packard,false,MA-L,2015/11/17
00:10:E4,NSI CORPORATION,false,MA-L,2015/11/17
00:10:E5,SOLECTRON TEXAS,false,MA-L,2015/11/17
00:10:E6,"APPLIED INTELLIGENT SYSTEMS, INC.",false,MA-L,2015/11/17
00:10:E7,"Breezecom, Ltd.",false,MA-L,2019/07/02
00:10:E8,"TELOCITY, INCORPORATED",false,MA-L,2015/11/17
00:10:E9,RAIDTEC LTD.,false,MA-L,2015/11/17
00:10:EA,ADEPT TECHNOLOGY,false,MA-L,2015/11/17
00:10:EB,"SELSIUS SYSTEMS, INC.",false,MA-L,2015/11/17
00:10:EC,"RPCG, LLC",false,MA-L,2015/11/17
00:10:ED,"SUNDANCE TECHNOLOGY, INC.",false,MA-L,2015/11/17
00:10:EE,"CTI PRODUCTS, INC.",false,MA-L,2015/11/17
00:10:EF,DBTEL INCORPORATED,false,MA-L,2015/11/17
00:10:F0,RITTAL-WERK RUDOLF LOH GmbH & Co.,false,MA-L,2015/11/17
00:10:F1,I-O CORPORATION,false,MA-L,2015/11/17
00:10:F2,ANTEC,false,MA-L,2015/11/17
00:10:F3,"Nexcom International Co., Ltd.",false,MA-L,2015/11/17
00:10:F4,Vertical Communications,false,MA-L,2015/11/17
00:10:F5,"AMHERST SYSTEMS, INC.",false,MA-L,2015/11/17
00:10:F6,"Cisco Systems, Inc",false,MA-L,2015/11/17
00:10:F7,IRIICHI TECHNOLOGIES Inc.,false,MA-L,2015/11/17
